CustomerID,invoices,items,unique_products,total_spend,avg_line_value,recency_days,tenure_days,purchase_rate,Country,RepeatBuyer
12347,7,2458,103,4310.0,23.681318681318682,1,365,0.019178082191780823,Iceland,1
12348,4,2341,22,1797.24,57.97548387096774,74,282,0.014184397163120567,Finland,1
12349,1,631,73,1757.55,24.076027397260273,18,0,1.0,Italy,0
12350,1,197,17,334.4,19.670588235294115,309,0,1.0,Norway,0
12352,8,536,59,2506.04,29.482823529411764,35,260,0.03076923076923077,Norway,1
12353,1,20,4,89.0,22.25,203,0,1.0,Bahrain,0
12354,1,530,58,1079.4,18.610344827586207,231,0,1.0,Spain,0
12355,1,240,13,459.4,35.33846153846154,213,0,1.0,Bahrain,0
12356,3,1591,53,2811.43,47.65135593220339,22,302,0.009933774834437087,Portugal,1
12357,1,2708,131,6207.67,47.38679389312977,32,0,1.0,Switzerland,0
12358,2,248,13,1168.06,61.47684210526315,1,149,0.013422818791946308,Austria,1
12359,4,1622,214,6372.58,25.695887096774193,57,274,0.014598540145985401,Cyprus,1
12360,3,1165,105,2662.06,20.63612403100775,51,148,0.02027027027027027,Austria,1
12361,1,91,10,189.9,18.990000000000002,286,0,1.0,Belgium,0
12362,10,2229,201,5226.23,19.647481203007516,2,292,0.03424657534246575,Belgium,1
12363,2,408,23,552.0,24.0,109,132,0.015151515151515152,Unspecified,1
12364,4,1506,70,1313.1,15.448235294117646,7,104,0.038461538461538464,Belgium,1
12365,2,174,22,641.38,29.153636363636362,290,0,2.0,Cyprus,1
12367,1,173,11,168.9,15.354545454545455,3,0,1.0,Denmark,0
12370,4,2353,143,3545.69,21.231676646706585,50,309,0.012944983818770227,Cyprus,1
12371,2,591,63,1887.96,29.96761904761905,44,14,0.14285714285714285,Switzerland,1
12372,3,794,34,1298.04,24.962307692307693,71,224,0.013392857142857142,Denmark,1
12373,1,197,14,364.6,26.042857142857144,310,0,1.0,Austria,0
12374,1,342,33,742.9300000000001,22.513030303030305,24,0,1.0,Austria,0
12375,2,178,14,457.5,26.91176470588235,10,87,0.022988505747126436,Finland,1
12377,2,944,72,1628.12,21.144415584415583,314,39,0.05128205128205128,Switzerland,1
12378,1,2529,219,4008.62,18.30420091324201,129,0,1.0,Switzerland,0
12379,2,407,39,852.24,21.306,81,88,0.022727272727272728,Belgium,1
12380,4,1127,77,2724.81,26.200096153846154,21,164,0.024390243902439025,Belgium,1
12381,5,808,70,1845.31,21.21045977011494,4,115,0.043478260869565216,Norway,1
12383,5,1532,84,1850.56,18.69252525252525,184,167,0.029940119760479042,Belgium,1
12384,2,126,26,585.27,21.676666666666666,28,92,0.021739130434782608,Switzerland,1
12386,2,354,10,401.9,40.19,337,29,0.06896551724137931,Australia,1
12388,6,1462,57,2780.66,27.8066,15,311,0.01929260450160772,Australia,1
12390,1,353,32,549.84,17.1825,79,0,1.0,Belgium,0
12391,1,300,92,460.89,4.6089,21,0,1.0,Cyprus,0
12393,4,816,47,1582.6000000000001,24.728125000000002,71,260,0.015384615384615385,Australia,1
12394,2,819,26,1272.48,47.12888888888889,63,153,0.013071895424836602,Belgium,1
12395,12,2118,91,3018.63,19.350192307692307,18,351,0.03418803418803419,Belgium,1
12397,2,1263,110,2409.9,19.126190476190477,35,99,0.020202020202020204,Belgium,1
12398,1,1394,85,1635.6599999999999,19.24305882352941,45,0,1.0,Switzerland,0
12399,4,1178,47,1108.65,18.790677966101697,118,142,0.028169014084507043,Belgium,1
12401,1,11,5,84.3,16.86,302,0,1.0,Belgium,0
12402,1,94,11,225.6,20.509090909090908,322,0,1.0,Belgium,0
12403,1,96,5,427.7,85.53999999999999,49,0,1.0,Denmark,0
